Length,Type
-20,N
-21,N
7,N
-12,N
-11,N
-12,N
48,N
48,N
-11,N
12,N
-18,N
-38,N
42,N
-27,N
-20,N
-47,N
33,N
-17,N
58,N
58,N
-11,N
5,N
12,N
8,N
8,N
-32,N
-3,N
-7,N
9,N
9,N
9,N
-6,N
-38,N
-38,N
-33,N
-10,N
-38,N
5,N
-12,N
-80,N
-11,N
-21,N
-13,N
-4,N
-11,N
-25,N
17,N
17,N
17,N
24,N
5,N
8,N
8,N
4,N
8,N
8,N
8,N
-22,N
-57,N
-31,N
-13,N
10,N
18,N
50,N
63,N
63,N
6,N
53,N
46,N
-30,N
37,N
-38,N
-5,N
55,N
73,N
-22,N
-11,N
-273,N
-23,N
51,N
-17,N
-17,N
-19,N
-19,N
-19,N
15,N
-24,N
-24,N
-24,N
11,N
6,N
-22,N
-23,N
18,N
18,N
-3,N
-26,N
-26,N
-26,N
-36,N
-36,N
5,N
19,N
19,N
-4,N
-24,N
-15,N
47,N
-48,N
-48,N
-48,N
-19,N
13,N
13,N
-8,N
-12,N
16,N
36,N
36,N
36,N
-27,N
202,N
202,N
202,N
202,N
11,N
11,N
-5,N
-21,N
-10,N
-16,N
19,N
-5,N
24,N
-89,N
6,N
-139,N
-139,N
-13,N
5,N
-70,N
-48,N
-16,N
-6,N
-5,N
-6,N
-110,N
-5,N
61,N
-7,N
-13,N
77,N
77,N
77,N
-5,N
75,N
75,N
-192,N
-14,N
11,N
-45,N
-45,N
-3,N
-47,N
-40,N
-36,N
5,N
-39,N
8,N
-5,N
-38,N
-25,N
-40,N
-10,N
9,N
15,N
23,N
9,N
17,N
17,N
-16,N
20,N
10,N
15,N
-12,N
-15,N
9,N
9,N
15,N
-4,N
9,N
9,N
9,N
9,N
9,N
9,N
9,N
-34,N
-7,N
-45,N
57,N
37,N
-98,N
38,N
38,N
-11,N
4,N
4,N
-4,N
-54,N
-5,N
48,N
31,N
14,N
-23,N
-50,N
32,N
32,N
137,N
-4,N
-10,N
